First.Name,Last.Name,tx_id,tx_date,tx_amount,tx_mode,tx_channel,bank_name,dob
nooeukw,uuoaklowalb,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1992/11/10 00:00:00
angulbo,seagn,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
dukowi,eukloomja,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,1992/01/01 00:00:00
ltuoawiob,uuilawobmn,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,1981/01/07 00:00:00
nakuolo,donald,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
juagn,ahcnaiz,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,1980/11/22 00:00:00
eykeneowj,ijutdh,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,1998/08/20 00:00:00
ellbo,sasahn,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,1976/12/12 00:00:00
ooadelb,ruktam,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1976/12/12 00:00:00
ali,grgniir kaeouakn,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
ial,ubykua,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
owjoloaur,eaoltse,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
boadigasm,hycknouwyeniu,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
ywmuia,oaeuld omyiosalnfula,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,1984/06/13 00:00:00
owug,fuatas,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
eaeodkg,nloadd,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
adyuns,naczhai,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
aiblnafoa,ollutoep,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
dokeay,egesr jmumoan,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
e okowuhoonw,izahbteel,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
imawinuk,iadmil,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
kroow,odqis,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
oogbnslou,lezeeki,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,1981/06/27 00:00:00
oujkn,aoiu ulaleafdosmyoln,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,1989/12/29 00:00:00
aimuwy,measj,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1981/01/07 00:00:00
anygoeeldu,dllaamio,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
uiwdo,audelb mllooaialunof,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
yaeikdno,o saederifaahbl,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
joo,lexce,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1999/12/23 00:00:00
oyeewal,aimolewfu,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
kruehio,rni oisaaubhbd,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
wounlraegob,urolmei,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,1979/09/27 00:00:00
ewneze,ibdhcmeu,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
woknueo,oienalcr,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
bedriie,nsnkloyiaoa,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
loeyowe,soqid,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
auwngo,raenvcoi,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
loognbosu,lsumea,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
eeciknh,uaanbeibdt,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
kownoeu,epainetc,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
pnduoige,nsenai,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
aalbfio,alwadee,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
ashi,nnea,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,1969/09/09 00:00:00
tiadli,aoniaduoflml lleoabu,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,1976/12/12 00:00:00
oabdelgas,nnae,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
khuckauwu,ablonle,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,1975/12/05 00:00:00
yleoeow,uwaan,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
dkmuaa,aibdri,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,1993/02/15 00:00:00
eonuwko,enians,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1988/05/08 00:00:00
doaeknuy,lmvahienos t,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,1980/01/01 00:00:00
oiaeljd,uobwumanil,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
ifnymoaul,ojy,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
whienaagg,rdiso,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,2000/12/04 00:00:00
diouw,daopoal,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,1988/10/10 00:00:00
iltaaonk,aedfiobrlea ash,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
khoceow,mlduioe,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
wreca,onmuauwbil,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1994/09/09 00:00:00
adeeely,isnaen,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
osuudom,umeokj,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
ssmaon,inasen,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
uwoltboai,o afsloeumidoluyalna,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
khowe ouwnoo,aeuwolfim,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
wooedal,onlshe taivm,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
nuainb,gzihicoe,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
wuamdeangu,niaesn,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,1992/01/01 00:00:00
ayonnht,imef,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,1991/07/10 00:00:00
oweyole,ihancza,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,1989/03/17 00:00:00
itladi,akdyaine,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
oejdail,ranedoke,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
dolyaee,niedkhe,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,NA
moaaulowy,eyiaydo,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
nsuwo,ennais,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
aayed,moojlkeua,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
nijati,bfl ehoiaseaard,5ed3d67b8723c11444c43283,2020/06/12 20:22:00,38445,Debit,mobile,ABank,1992/03/31 00:00:00
ooork,aignayt,5ed3d67b8723c11444c43283,2020/06/13 06:00:00,29627,Debit,mobile,GBank,NA
najuulgo,emit mnaaewun,5ed3d67b8723c11444c43283,2020/06/13 16:10:00,27791,Debit,web,KBank,NA
aeayd,cunainh,5ed3d67b8723c11444c43283,2020/06/13 05:28:00,6192,Debit,web,QBank,NA
